Job Information - Effective Date,All records independent of date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Information - Effective Sequence,All records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSN,File Number,Employee ID,First Name,Last Name,Birth Date,Gender,Mailing Address Line 1,Mailing Address Line 2,Mailing Address City,Mailing Address State,Mailing Address ZIP/Postal,Phone Number,Payroll Frequency,Annual Rate,Location Code (Work),Location Name,Pay Group,Department Code,Department Name,Hourly Rate,Hire Date,Job Termination Date,Job Rehire Date,Employee Status,Job Information Effective Date,Job Title,Reason Code,Action/Reason Description,Action/Reasons Effective Date,Job Action,Full-Time/Part-Time
555-44-8808,200001,10000,John,Doe,20/01/1990,Female,123 Address RD,,Little Rock,AR,72205,,24,50.00,7415,Hydro,J67,748656,Stgt Oil Packaging Dept,1.00,03/06/2018,,,Active,03/06/2018,Temporary,,,,HIR,P
555-44-8808,200001,10000,John,Doe,20/01/1990,Female,123 Address RD,,Little Rock,AR,72205,,24,50.00,7415,Hydro,J67,748656,Stgt Oil Packaging Dept,1.00,03/06/2018,,,Active,03/06/2018,Temporary,,,,HIR,P
555-44-880945,200002,10001,John,Doe,21/01/1990,Female,124 Address RD,,Little Rock,AR,72205,870/659-6675,24,50.00,6110,Stuttgart Rice Division,J67,610656,Stgt Rice Packaging,1.00,09/20/2017,03/12/2018,,Terminated,03/12/2018,Miscellaneous Labor,F,Abandoned Job,01/01/1921,TER,F
555-44****-8810,200003,10002,John,Doe,22/01/1990,Female,125 Address RD,,Little Rock,AR,72205,870/456-8079,24,50.00,6105,Headquarters,J67,610236,Consumer & Food Serv Support,1.00,03/06/2018,,,Active,03/06/2018,Office Clerk IV HQ,ER,Employee Refer,01/01/1921,HIR,F
5-55--44-8811,200004,10003,John,Doe,23/01/1990,Female,126 Address RD,,Little Rock,AR,72205,(870) 659-5665,24,50.00,6105,Headquarters,J67,611336,Hq Central Placement Office,1.00,10/31/2016,07/10/2017,03/14/2018,Active,03/14/2018,Temporary HQ,,,,REH,P
555448812,200005,10004,John,Doe,24/01/1990,Male,127 Address RD,,Little Rock,AR,72205,314/435-4220,24,50.00,6150,Jonesboro Rice Division,J67,613316,Jnsb Parboil Rice Mill,1.00,11/30/2017,03/07/2018,,Terminated,03/07/2018,General Maintenance Rice Div,F,Abandoned Job,01/01/1921,TER,F
555-44-8813,200006,10005,John,Doe,25/01/1990,Male,128 Address RD,,Little Rock,AR,72205,870/456-3864,24,50.00,7410,Soy Division,J67,741966,Stgt Hull Burner,1.00,10/06/2017,03/02/2018,,Terminated,03/02/2018,Utility Operator,X,Other,01/01/1921,TER,F
555-44-8814,200007,10006,John,Doe,26/01/1990,Male,129 Address RD,,Little Rock,AR,72205,(),24,50.00,7701,Pension NB,J68,770000,Riceland Foods Employee Pensio,1.00,08/01/2013,,,Active,03/01/2018,Default,,,,DTA,F
555-44-8815,200008,10007,John,Doe,27/01/1990,Female,130 Address RD,,Little Rock,AR,72205,870/761-0659,24,50.00,6150,Jonesboro Rice Division,J67,613016,Jnsb Rice Office,1.00,09/22/2017,,,Active,03/22/2018,Inventory Clerk I,STP,Step Progression,01/01/2001,PAY,F
555-44-8816,200009,10008,John,Doe,28/01/1990,Male,131 Address RD,,Little Rock,AR,72205,870/830-7752,24,50.00,7415,Hydro,J67,748376,Stgt Oil Bleaching,1.00,01/25/2018,03/02/2018,,Terminated,03/02/2018,Bleaching Operator,9,Accept Other Employm,01/01/1921,TER,F
555-44-8817,200010,10009,John,Doe,29/01/1990,Male,132 Address RD,,Little Rock,AR,72205,(870) 659-6402,24,50.00,6110,Stuttgart Rice Division,J67,610856,Stgt R/Rice Section (F),1.00,03/12/2014,,,Active,03/02/2018,Non-Salaried Foreman,STP,Step Progression,01/01/2001,PAY,F
555-44-8818,200011,10010,John,Doe,30/01/1990,Male,133 Address RD,,Little Rock,AR,72205,501/515-2607,24,50.00,6120,Stutt Construction,J67,610976,Stgt Construction,1.00,09/13/2017,,,Active,03/08/2018,Skilled Helper-A Const,STP,Step Progression,01/01/2001,PAY,F
555-44-8819,200012,10011,John,Doe,31/01/1990,Male,134 Address RD,,Little Rock,AR,72205,870-255-5107,24,50.00,7410,Soy Division,J67,740796,Stgt Soybean Machinery Repair,1.00,02/03/2016,,,Active,03/01/2018,Skilled Maint A,,,,PAY,F
555-44-8820,200013,10012,John,Doe,01/02/1990,Male,135 Address RD,,Little Rock,AR,72205,(870) 840-0087,24,50.00,6110,Stuttgart Rice Division,J67,610856,Stgt R/Rice Section (F),1.00,01/29/2014,07/14/2016,08/22/2016,Active,03/09/2018,General Utility Pers,STP,Step Progression,01/01/2001,PAY,F
555-44-8821,200014,10013,John,Doe,02/02/1990,Male,136 Address RD,,Little Rock,AR,72205,(870) 882-3765,24,50.00,6150,Jonesboro Rice Division,J67,613016,Jnsb Rice Office,1.00,07/23/2010,,,Active,03/01/2018,Office Clerk IV,STP,Step Progression,01/01/2001,PAY,F
555-44-8822,200015,10014,John,Doe,03/02/1990,Male,137 Address RD,,Little Rock,AR,72205,870/882-3765,24,50.00,6150,Jonesboro Rice Division,J67,613016,Jnsb Rice Office,1.00,07/23/2010,,,Active,03/01/2018,Office Clerk IV,STP,Step Progression,01/01/2001,PAY,F
555-44-8823,200016,10015,John,Doe,04/02/1990,Female,138 Address RD,,Little Rock,AR,72205,(870) 674-4556,24,50.00,6110,Stuttgart Rice Division,J67,611496,Stgt C/Rice Dom Pkg Ship,1.00,05/04/2015,05/09/2016,05/24/2016,Active,03/02/2018,Checker III,STP,Step Progression,01/01/2001,PAY,F
555-44-8824,200017,10016,John,Doe,05/02/1990,Male,139 Address RD,,Little Rock,AR,72205,470/302-2050,24,50.00,6110,Stuttgart Rice Division,J67,611496,Stgt C/Rice Dom Pkg Ship,1.00,07/26/2017,,,Active,03/02/2018,Checker III,STP,Step Progression,01/01/2001,PAY,F
555-44-8825,200018,10017,John,Doe,06/02/1990,Male,140 Address RD,,Little Rock,AR,72205,,24,50.00,6105,Headquarters,J66,610391,Hq IT Information Technology,1.00,10/16/2017,03/07/2018,,Terminated,03/07/2018,Systems Engineer,9,Accept Other Employm,01/01/1921,TER,F
555-44-8826,200019,10018,John,Doe,07/02/1990,Male,141 Address RD,,Little Rock,AR,72205,(870)643-9051,24,50.00,6110,Stuttgart Rice Division,J67,611496,Stgt C/Rice Dom Pkg Ship,1.00,04/27/2016,03/08/2018,04/27/2016,Terminated,03/08/2018,Checker III,F,Abandoned Job,01/01/1921,TER,F
555-44-8827,200020,10019,John,Doe,08/02/1990,Female,142 Address RD,,Little Rock,AR,72205,870/830-0118,24,50.00,6110,Stuttgart Rice Division,@HR,610656,Stgt Rice Packaging,1.00,02/14/2018,03/07/2018,,Terminated,03/07/2018,Miscellaneous Labor,TRA,TRANSFER,01/01/1921,XFR,F
555-44-8828,200021,10020,John,Doe,09/02/1990,Female,143 Address RD,,Little Rock,AR,72205,870/830-0118,52,50.00,6110,Stuttgart Rice Division,J67,610656,Stgt Rice Packaging,1.00,02/14/2018,03/07/2018,,Terminated,03/07/2018,Miscellaneous Labor,PRF,Performance,12/31/1899,TER,F
555-44-8829,200022,10021,John,Doe,10/02/1990,Female,144 Address RD,,Little Rock,AR,72205,870/830-0118,52,50.00,6110,Stuttgart Rice Division,J67,610656,Stgt Rice Packaging,1.00,02/14/2018,03/07/2018,,Terminated,03/07/2018,Miscellaneous Labor,PRF,Performance,09/01/2008,TER,F
555-44-8830,200023,10022,John,Doe,11/02/1990,Female,145 Address RD,,Little Rock,AR,72205,(870) 830-2606,52,50.00,6110,Stuttgart Rice Division,J67,611896,Stgt Quality Assurance,1.00,02/20/2013,,,Active,03/02/2018,Rice Grader,,,,DTA,F
555-44-8831,200024,10023,John,Doe,12/02/1990,Male,146 Address RD,,Little Rock,AR,72205,870/926-5226,52,50.00,0086,Waldenburg Drier,J67,861456,Waldenburg Regular Bag Sewing,1.00,03/08/2018,,,Active,03/08/2018,Power Curve Oper A,REP,Replacement,01/01/1950,HIR,F
555-44-8832,200025,10024,John,Doe,13/02/1990,Male,147 Address RD,,Little Rock,AR,72205,(870) 275-1681,52,50.00,6150,Jonesboro Rice Division,J67,612916,Jnsb Rice Sanitation,1.00,09/28/2012,,,Active,03/13/2018,General Utility A,OTH,Other,12/31/1899,PAY,F
555-44-8833,200026,10025,John,Doe,14/02/1990,Male,148 Address RD,,Little Rock,AR,72205,501/285-0464,52,50.00,7415,Hydro,J67,748656,Stgt Oil Packaging Dept,1.00,03/06/2018,03/12/2018,,Active,03/06/2018,Temporary,,,,HIR,P
555-44-8834,200027,10026,John,Doe,15/02/1990,Male,149 Address RD,,Little Rock,AR,72205,501/285-0464,52,50.00,7415,Hydro,J67,748656,Stgt Oil Packaging Dept,1.00,03/06/2018,03/12/2018,,Terminated,03/12/2018,Temporary,X,Other,01/01/1921,TER,P
555-44-8835,200028,10027,John,Doe,16/02/1990,Male,150 Address RD,,Little Rock,AR,72205,(870) 344-0140,24,50.00,6110,Stuttgart Rice Division,J67,610796,Stgt Rice Maintenance General,1.00,08/20/1993,06/14/1994,02/15/2017,Active,03/02/2018,Plant Electrician,STP,Step Progression,01/01/2001,PAY,F
555-44-8836,200029,10028,John,Doe,17/02/1990,Male,151 Address RD,,Little Rock,AR,72205,(870) 344-0140,24,50.00,6110,Stuttgart Rice Division,J67,610796,Stgt Rice Maintenance General,1.00,08/20/1993,06/14/1994,02/15/2017,Active,03/02/2018,Plant Electrician,,,,PAY,F
555-44-8837,200030,10029,John,Doe,18/02/1990,Male,152 Address RD,,Little Rock,AR,72205,(870) 946-3864,24,50.00,6110,Stuttgart Rice Division,J67,610796,Stgt Rice Maintenance General,1.00,08/20/1993,06/14/1994,02/15/2017,Active,03/02/2018,Plant Electrician,STP,Step Progression,01/01/2001,PAY,F
